Название;Жанр;Режиссер;Страна;Год
Ангелы ада;драма;Говард Хьюз, Эдмунд Гулдинг, Джеймс Уэйл;США;1930
Ангелы ада ’69;боевик;Ли Мэдден;США;1969
Ангелов круче не бывает;боевик;Джо Виола;США;1971
Ангел-хранитель;драма, нуар, триллер;Жан-Себастьян Лорд;Канада;2014
Ангел-хранитель;боевик, драма;Тиль Швайгер;Германия;2012
Ангел-мститель;вестерн, боевик, драма;Дэвид Касс;;2007
Ангел-истребитель;трагикомедия;Луис Бунюэль;Мексика;1962
Ангел-А;мелодрама, комедия, нуар, магический реализм;Люк Бессон;Франция;2005
Ангел тьмы;боевик, кинофантастика;Крэйг Р. Бэксли;США;1990
Ангел света;мистика, боевик, ужасы;Шейн Эббесс;Австралия;2007
Ангел с ружьём;драма;Дамиано Дамиани, 1, 2;Италия;1992
Ангел Русской церкви против отца всех народов;Документальное кино;Валерий Залотуха;Россия;2005
